OrderId,OrderQuantity,ExpectedDays,ActualDays,Status
0,936,6,6,1
1,638,9,9,1
2,213,3,3,1
3,422,4,4,1
4,992,6,6,1
5,316,3,7,0
6,388,3,3,1
7,620,6,6,1
8,241,3,3,1
9,550,8,8,1
10,523,8,8,1
11,579,10,10,1
12,349,3,3,1
13,696,7,7,1
14,769,9,9,1
15,753,7,7,1
16,380,3,3,1
17,547,10,10,1
18,973,7,7,1
19,686,6,9,0
20,117,3,3,1
21,681,10,10,1
22,573,8,8,1
23,986,7,8,0
24,162,5,5,1
25,814,8,8,1
26,387,3,3,1
27,708,7,7,1
28,996,6,6,1
29,634,6,6,1
30,434,5,5,1
31,905,8,8,1
32,383,3,3,1
33,540,10,11,0
34,178,3,3,1
35,714,6,6,1
36,326,3,3,1
37,176,4,4,1
38,919,7,7,1
39,592,6,6,1
40,480,3,3,1
41,972,10,10,1
42,871,8,13,0
43,735,10,10,1
44,471,3,3,1
45,997,7,7,1
46,820,7,7,1
47,169,3,3,1
48,216,3,3,1
49,550,10,11,0
50,491,3,3,1
51,121,3,3,1
52,131,5,5,1
53,328,5,5,1
54,327,5,5,1
55,354,4,4,1
56,410,5,5,1
57,690,6,6,1
58,227,3,3,1
59,577,9,9,1
60,925,10,10,1
61,923,9,12,0
62,269,3,3,1
63,586,7,7,1
64,840,7,7,1
65,189,4,4,1
66,791,9,9,1
67,658,8,9,0
68,623,9,9,1
69,723,7,7,1
70,744,10,10,1
71,280,5,5,1
72,189,3,8,0
73,162,3,3,1
74,643,7,7,1
75,390,3,3,1
76,635,9,9,1
77,104,4,4,1
78,1001,6,6,1
79,960,10,10,1
80,383,4,4,1
81,931,8,8,1
82,453,5,5,1
83,844,6,6,1
84,826,10,14,0
85,280,4,4,1
86,494,3,3,1
87,871,9,9,1
88,292,3,3,1
89,840,10,13,0
90,990,7,7,1
91,645,10,10,1
92,349,5,5,1
93,465,4,4,1
94,379,5,5,1
95,819,9,9,1
96,223,5,5,1
97,424,4,4,1
98,294,5,10,0
99,472,3,3,1
100,438,4,4,1
101,369,5,5,1
102,560,8,8,1
103,661,6,6,1
104,820,9,9,1
105,751,10,10,1
106,641,9,11,0
107,364,5,5,1
108,101,3,3,1
109,899,9,9,1
110,143,3,3,1
111,817,10,10,1
112,434,4,5,0
113,210,3,3,1
114,819,6,6,1
115,559,10,10,1
116,158,5,5,1
117,472,3,4,0
118,106,3,3,1
119,772,8,9,0
120,923,6,6,1
121,580,9,9,1
122,269,5,5,1
123,1000,7,11,0
124,461,4,4,1
125,932,7,7,1
126,338,4,4,1
127,127,3,6,0
128,930,6,6,1
129,227,5,5,1
130,484,3,6,0
131,620,10,10,1
132,323,4,4,1
133,555,8,8,1
134,888,9,9,1
135,312,4,5,0
136,857,8,8,1
137,604,8,8,1
138,166,3,3,1
139,543,6,6,1
140,756,7,7,1
141,560,8,10,0
142,672,7,7,1
143,508,8,8,1
144,493,4,4,1
145,438,3,3,1
146,417,4,9,0
147,406,5,5,1
148,304,5,10,0
149,199,3,3,1
150,902,8,11,0
151,355,4,9,0
152,626,8,8,1
153,134,5,5,1
154,380,4,4,1
155,412,4,4,1
156,651,8,8,1
157,448,4,4,1
158,546,8,8,1
159,691,8,8,1
160,659,8,8,1
161,162,5,5,1
162,490,3,8,0
163,591,9,9,1
164,714,10,10,1
165,287,3,3,1
166,771,6,9,0
167,333,5,5,1
168,521,6,6,1
169,507,7,7,1
170,542,9,9,1
171,675,9,9,1
172,631,9,9,1
173,983,9,9,1
174,345,4,4,1
175,589,8,12,0
176,842,6,6,1
177,704,9,9,1
178,147,3,3,1
179,311,5,5,1
180,388,3,3,1
181,964,9,9,1
182,758,8,8,1
183,267,5,5,1
184,128,4,4,1
185,568,9,9,1
186,805,8,11,0
187,190,3,4,0
188,641,8,13,0
189,198,4,4,1
190,206,4,9,0
191,243,5,5,1
192,506,9,9,1
193,317,4,4,1
194,441,4,4,1
195,773,7,7,1
196,514,8,8,1
197,511,7,7,1
198,555,9,9,1
199,593,8,8,1
200,770,8,8,1
201,913,6,10,0
202,185,3,3,1
203,633,6,8,0
204,445,3,3,1
205,440,3,3,1
206,318,3,6,0
207,998,10,10,1
208,793,8,8,1
209,376,4,4,1
210,416,5,5,1
211,708,9,9,1
212,253,3,3,1
213,275,5,5,1
214,641,9,9,1
215,372,3,3,1
216,924,7,8,0
217,119,5,9,0
218,460,4,4,1
219,616,6,6,1
220,598,9,9,1
221,701,10,11,0
222,429,4,4,1
223,608,9,14,0
224,948,7,7,1
225,753,7,7,1
226,759,8,13,0
227,547,7,7,1
228,875,10,10,1
229,456,4,4,1
230,286,4,4,1
231,616,8,8,1
232,699,9,9,1
233,188,3,5,0
234,206,4,4,1
235,335,5,5,1
236,729,10,10,1
237,595,8,8,1
238,463,3,3,1
239,381,5,5,1
240,157,4,4,1
241,985,9,9,1
242,254,4,4,1
243,949,6,6,1
244,795,10,10,1
245,130,3,3,1
246,714,6,6,1
247,262,3,3,1
248,420,3,3,1
249,114,3,3,1
250,973,10,10,1
251,137,4,4,1
252,178,3,3,1
253,350,4,4,1
254,802,8,8,1
255,397,5,6,0
256,487,4,4,1
257,726,9,9,1
258,409,5,5,1
259,500,4,4,1
260,902,9,9,1
261,561,7,7,1
262,928,7,7,1
263,135,4,4,1
264,415,4,6,0
265,820,10,12,0
266,528,8,8,1
267,661,9,9,1
268,688,10,10,1
269,497,5,8,0
